symbol,median_delay_s,pct_stop_exits,mean_decay_before_bps,mean_decay_after_bps,std_decay_before_bps,std_decay_after_bps,worst_decay_before_bps,worst_decay_after_bps,mean_exit_slip_before_bps,mean_exit_slip_after_bps,divergent_exit_count,divergent_exit_pnl_bps,net_improvement_bps
SPXUSD,0.3,60.962566844919785,-0.0002825456543650005,-0.0003087340521594298,0.0015393996577993255,0.0015167013300261196,0.00402429299457759,0.003914476759046774,0.17664083153623608,0.17661464313844166,0.0,0.0,2.61883977944293e-05
SPXUSD,3.0,60.962566844919785,0.027975755741794978,0.02579784220144995,0.015491558232178721,0.015183695712865004,0.06994980809663758,0.06801544691792377,0.1888769927373936,0.18669907919704853,0.0,0.0,0.002177913540345029
SPXUSD,30.0,60.962566844919785,0.7133571022672895,0.2802000431139094,0.10784772362428148,0.08435374303180246,0.9164659718988319,0.43406948059031014,0.7187263715744927,0.28556931242111266,0.0,0.0,0.43315705915338015
SPXUSD,120.0,60.962566844919785,2.739190879180995,0.7743218482048829,0.18262358425011624,0.1553736528717016,3.1069915185349495,1.0980111835507422,2.409036594464772,0.44416756348866016,0.08,-0.004537208435448645,1.964869030976112
SPXUSD,600.0,60.962566844919785,5.625604475465578,1.1804499723013921,0.39831206104536765,0.3244579910934818,6.492429157479759,1.8083777461487707,5.004721578337384,0.5595670751731976,6.32,-0.26754037422007376,4.445154503164186
USDJPY,0.3,56.165703275529864,-0.0005199423314280162,-0.0005174556232887272,0.0006766339384582014,0.0006727200819655405,0.0019382101423981715,0.0019416699862306302,0.022838247128275944,0.02284073383641523,0.0,0.0,-2.4867081392890723e-06
USDJPY,3.0,56.165703275529864,0.006944980600231116,0.005444927157895781,0.006632256189571149,0.006716736653921546,0.030024026804839343,0.030030840016765956,0.02343410699380119,0.021934053551465858,0.0,0.0,0.0015000534423353345
USDJPY,30.0,56.165703275529864,0.4066649831890362,0.07384539246214106,0.07948609615574491,0.03782060341061825,0.5913873301521905,0.17342990117437615,0.35463953288103006,0.02181994215413482,0.0,0.0,0.33281959072689515
USDJPY,120.0,56.165703275529864,1.3230311922715419,0.22049494464166344,0.08810695133224503,0.07628305701979232,1.4468970285283718,0.3488812199476818,1.1567504466204497,0.05421419899057102,0.04,-0.0016970400449552458,1.1025362476298783
USDJPY,600.0,56.165703275529864,2.354774702803016,0.2295709281865753,0.19111534732570173,0.16849939409472267,2.7289685716863943,0.5686961948427312,2.1292950393248615,0.004091264708420849,2.6,-0.07489237276367752,2.1252037746164407
XAUUSD,0.3,60.24904214559387,0.0016409295569934457,0.0016396658701988839,0.0012941410911582628,0.00126339703439271,0.00426008811806149,0.004458716172492041,0.23224968510662997,0.23224842141983537,0.0,0.0,1.2636867945618052e-06
XAUUSD,3.0,60.24904214559387,0.011020713586631245,0.006163823445544373,0.013137407909646275,0.012603319703728117,0.035125145901900676,0.034014365834297795,0.23264403856770166,0.22778714842661477,0.0,0.0,0.004856890141086872
XAUUSD,30.0,60.24904214559387,0.4285291831089242,0.012157853652240626,0.08623278371138386,0.08576055491788367,0.5961997560395145,0.1580874686307693,0.598966705758507,0.18259537630182332,0.16,-0.005295961427082202,0.41637132945668354
XAUUSD,120.0,60.24904214559387,1.1068901000390907,-0.35265340735423456,0.14544829590320774,0.10959237927911922,1.4419037255502276,-0.08568120453446948,1.4710633789939458,0.011519871600620851,1.84,-0.06705871305636393,1.4595435073933252
XAUUSD,600.0,60.24904214559387,1.7706894948298746,-1.179950089137246,0.2818155539872041,0.23797043629635625,2.3938446062321375,-0.7298530915221096,2.654798502224699,-0.2958410817424216,7.76,-0.2814447596513273,2.9506395839671207
ETHUSD,0.3,57.92031098153547,-0.012284159299389903,-0.012488052076668497,0.005667223357853251,0.005857413995193727,-0.00030700673245643195,-0.001389462904440764,9.0358141618568,9.035610269079521,0.0,0.0,0.00020389277727859458
ETHUSD,3.0,57.92031098153547,0.4133555143078144,0.4226083123995496,0.05874844504871472,0.058627646439691296,0.5404110034355285,0.533567587720049,9.153185922530954,9.16243872062269,0.0,0.0,-0.009252798091735182
ETHUSD,30.0,57.92031098153547,5.301057644241391,4.04467388514494,0.4791294688760785,0.43267309305787943,5.954993078277911,4.689323258148456,11.419781880290119,10.163398121193667,0.4,-0.12387583033411617,1.256383759096451
ETHUSD,120.0,57.92031098153547,11.182441561021633,5.933054364018973,0.8579037706944024,0.7032557931282786,12.816474811969815,7.190211715058355,15.809159926732736,10.559772729730076,1.52,-0.27737626548562416,5.249387197002661
ETHUSD,600.0,57.92031098153547,13.812331840060073,3.362639013387163,1.3457945463264698,1.4429298462317028,16.401433097899933,6.84104310944445,20.52357377527749,10.073880948604579,4.24,-0.6293587988723465,10.44969282667291
