symbol,median_delay_s,R_star,avg_copied_size,master_pnl_bps,follower_pnl_full_bps,follower_pnl_sized_bps,mean_decay_before_bps,mean_decay_after_bps,std_decay_before_bps,std_decay_after_bps,worst_decay_before_bps,worst_decay_after_bps,worst_decay_after_scaled_bps,foregone_positive_edge_bps,avoided_losing_exposure_bps,net_edge_given_up_bps,net_improvement_bps
SPXUSD,0.3,52.42953770639697,0.9999544615560592,-3.0783423947470694,-3.078059849092704,-3.0726102997028515,-0.0002825456543650005,-0.005732095044217277,0.0015393996577993255,0.02353398074522723,0.00402429299457759,0.05415485580273796,0.05415238967487286,0.0020052225123264144,0.007454771902178693,-0.005449549389852279,0.005449549389852277
SPXUSD,3.0,52.42953770639697,0.9847270622454564,-3.0783423947470694,-3.106318150488863,-2.558871557827226,0.027975755741794978,-0.5194708369198426,0.015491558232178721,0.5345072164869193,0.06994980809663758,0.5114562762675094,0.5036448363959051,0.9730321481019695,1.5204787407636073,-0.5474465926616376,0.5474465926616376
SPXUSD,30.0,52.42953770639697,0.5912400818164859,-3.0783423947470694,-3.791699497014358,-1.5928288423223065,0.7133571022672895,-1.485513552424762,0.10784772362428148,0.8597139807984738,0.9164659718988319,0.21573450960753587,0.127550889110999,17.238205741499797,19.437076396191852,-2.1988706546920516,2.1988706546920516
SPXUSD,120.0,52.42953770639697,0.21575137389081167,-3.0783423947470694,-5.817533273928063,-0.9203120500047496,2.739190879180995,-2.158030344742319,0.18262358425011624,0.4428797532085985,3.1069915185349495,-1.2588500417819661,-0.2715986260369649,28.886146074179223,33.78336729810253,-4.897221223923311,4.897221223923314
SPXUSD,600.0,52.42953770639697,0.04599304578990362,-3.0783423947470694,-8.703946870212647,-0.2977875289806905,5.625604475465578,-2.780554865766378,0.39831206104536765,0.12091854876362866,6.492429157479759,-2.5680479203315287,-0.11811234559047476,33.30271092817113,41.708870269403086,-8.406159341231957,8.406159341231955
USDJPY,0.3,31.03161399842519,0.9999880113304163,1.4815915882070656,1.4821115305384933,1.4817636091617061,-0.0005199423314280162,-0.00017202095464041633,0.0006766339384582014,0.0019573660598520997,0.0019382101423981715,0.008657119341808366,0.00865701555446503,0.0003479213767875997,0.0,0.0003479213767875997,-0.0003479213767875999
USDJPY,3.0,31.03161399842519,0.9871028189562159,1.4815915882070656,1.4746466076068345,1.5262005989485337,0.006944980600231116,-0.04460901074146848,0.006632256189571149,0.14173814005552218,0.030024026804839343,0.2913409123768164,0.28758343588443136,0.36116650850616283,0.4127204998478624,-0.051553991341699586,0.0515539913416996
USDJPY,30.0,31.03161399842519,0.6310022559359117,1.4815915882070656,1.074926605018029,1.3561554708051193,0.4066649831890362,0.12543611740194627,0.07948609615574491,0.42239763117609197,0.5913873301521905,1.0022661705918288,0.6324322146916913,8.260042966020874,8.541271831807963,-0.28122886578708967,0.28122886578708994
USDJPY,120.0,31.03161399842519,0.23753900403937786,1.4815915882070656,0.1585603959355235,0.48219882650717716,1.3230311922715419,0.9993927616998883,0.08810695133224503,0.3461956740839949,1.4468970285283718,1.6687892482298516,0.39640253597614106,16.2226236822681,16.546262112839756,-0.3236384305716544,0.32363843057165353
USDJPY,600.0,31.03161399842519,0.05060802712949683,1.4815915882070656,-0.8731831145959508,0.049794079870513784,2.354774702803016,1.4317975083365517,0.19111534732570173,0.09827455063389462,2.7289685716863943,1.5988249393751386,0.08091337590721313,19.780441606141967,20.703418800608432,-0.9229771944664635,0.9229771944664644
XAUUSD,0.3,59.89482892655011,1.0,0.023603994013890794,0.021963064456897906,0.021963064456897906,0.0016409295569934457,0.0016409295569934457,0.0012941410911582628,0.0012941410911582628,0.00426008811806149,0.00426008811806149,0.00426008811806149,0.0,0.0,0.0,0.0
XAUUSD,3.0,59.89482892655011,0.9910248605906673,0.023603994013890794,0.01258328042726006,0.36748236560203046,0.011020713586631245,-0.3438783715881391,0.013137407909646275,0.33654028104272277,0.035125145901900676,0.36765621705764895,0.36435645125484867,0.3543924563143927,0.7092915414891631,-0.3548990851747704,0.35489908517477037
XAUUSD,30.0,59.89482892655011,0.6169790427802111,0.023603994013890794,-0.4049251890950327,1.087611972520646,0.4285291831089242,-1.0640079785067547,0.08623278371138386,1.0350711205202718,0.5961997560395145,0.6478788609768802,0.399727679483049,15.413628212409794,16.906165374025473,-1.4925371616156784,1.4925371616156788
XAUUSD,120.0,59.89482892655011,0.22107078349406847,0.023603994013890794,-1.0832861060251997,0.5277188137201378,1.1068901000390907,-0.5041148197062464,0.14544829590320774,0.6035470989490613,1.4419037255502276,0.359300106826673,0.0794307561256751,30.232963438610692,31.843968358356037,-1.6110049197453369,1.611004919745337
XAUUSD,600.0,59.89482892655011,0.04609986896945293,0.023603994013890794,-1.7470855008159831,0.07108499521220668,1.7706894948298746,-0.04748100119831525,0.2818155539872041,0.14242219081270815,2.3938446062321375,0.16259364114605473,0.007495545552099374,36.68129664389296,38.49946713992115,-1.8181704960281908,1.81817049602819
ETHUSD,0.3,247.44987074704184,0.9999057023212047,8.826739914882548,8.839024074181934,8.73246487617449,-0.012284159299389903,0.09427503870805522,0.005667223357853251,0.3592317426966642,-0.00030700673245643195,1.3092337505030294,1.3091102927993565,0.12951506821084724,0.02295587020340214,0.1065591980074451,-0.10655919800744512
ETHUSD,3.0,247.44987074704184,0.9841658730850883,8.826739914882548,8.41338440057473,9.349032664758294,0.4133555143078144,-0.5222927498757501,0.05874844504871472,1.5891077246243375,0.5404110034355285,1.7459525447033188,1.7183069105230735,3.0401852020719335,3.9758334662554984,-0.9356482641835646,0.9356482641835646
ETHUSD,30.0,247.44987074704184,0.618942297269212,8.826739914882548,3.5256822706411532,12.504822527273836,5.301057644241391,-3.6780826123912935,0.4791294688760785,4.1710296924965675,5.954993078277911,7.129855453514068,4.412969113595417,67.00015227659563,75.9792925332283,-8.979140256632684,8.979140256632684
ETHUSD,120.0,247.44987074704184,0.22289763923526354,8.826739914882548,-2.355701646139089,4.837060032778811,11.182441561021633,3.989679882103732,0.8579037706944024,3.3943767929184694,12.816474811969815,9.73594306649236,2.1701187252500795,136.72937551951142,143.92213719842934,-7.192761678917903,7.192761678917901
ETHUSD,600.0,247.44987074704184,0.046647149714009094,8.826739914882548,-4.98559192517753,0.8402174850955443,13.812331840060073,7.986522429787,1.3457945463264698,0.7502541501624795,16.401433097899933,9.262232245289242,0.43205673423192986,166.84453325394097,172.670342664214,-5.825809410273084,5.825809410273074
