instrument,gate_median_ms,tau_ms,baseline_pnl_bps,net_impact_H_bps,net_impact_S_bps,winning_policy,margin_bps
ETHUSD,30.0,10.0,9082.715372414144,-15831.921827943745,-8062.985313825014,S,7768.936514118731
ETHUSD,30.0,25.0,9082.715372414144,-14783.623807824186,-6934.285271619133,S,7849.338536205053
ETHUSD,30.0,50.0,9082.715372414144,-13771.506920430484,-6173.038290677944,S,7598.4686297525395
ETHUSD,30.0,100.0,9082.715372414144,-2137.987363923802,-147.46928542049682,S,1990.5180785033053
ETHUSD,30.0,250.0,9082.715372414144,296.07771657052126,1079.9182708303651,S,783.8405542598439
ETHUSD,150.0,10.0,9082.715372414144,-9886.065101791504,-4943.469531569393,S,4942.595570222111
ETHUSD,150.0,25.0,9082.715372414144,-13083.92628659549,-6543.0357350713675,S,6540.890551524122
ETHUSD,150.0,50.0,9082.715372414144,-15832.043063215311,-8064.710657329058,S,7767.332405886253
ETHUSD,150.0,100.0,9082.715372414144,-18035.96621723944,-8736.531868529226,S,9299.434348710212
ETHUSD,150.0,250.0,9082.715372414144,-13776.81588574718,-6180.87682607975,S,7595.939059667431
SPXUSD,30.0,10.0,-3453.900166906212,2437.4493806741625,1166.8017657888645,H,1270.647614885298
SPXUSD,30.0,25.0,-3453.900166906212,306.1656257469534,178.98042531871772,H,127.1852004282357
SPXUSD,30.0,50.0,-3453.900166906212,808.4971685659718,574.8454568311497,H,233.65171173482213
SPXUSD,30.0,100.0,-3453.900166906212,731.6314082745505,750.2260046095635,S,18.594596335012966
SPXUSD,30.0,250.0,-3453.900166906212,1086.961123115487,960.92905751041,H,126.03206560507704
SPXUSD,150.0,10.0,-3453.900166906212,3529.6803029096022,1764.8197692270917,H,1764.8605336825105
SPXUSD,150.0,25.0,-3453.900166906212,4233.404486161169,2116.6469107835105,H,2116.7575753776587
SPXUSD,150.0,50.0,-3453.900166906212,2437.4264703576655,1166.7010802185955,H,1270.72539013907
SPXUSD,150.0,100.0,-3453.900166906212,39.783265683385366,-3.927857179822695,H,43.71112286320806
SPXUSD,150.0,250.0,-3453.900166906212,807.9026019142104,574.4331266141211,H,233.46947530008936
USDJPY,30.0,10.0,1537.8920685589342,-2030.5173596556,-1014.2744347536596,S,1016.2429249019405
USDJPY,30.0,25.0,1537.8920685589342,-2835.498501973392,-1382.227468344331,S,1453.271033629061
USDJPY,30.0,50.0,1537.8920685589342,-2168.50904891044,-948.5775004438163,S,1219.9315484666236
USDJPY,30.0,100.0,1537.8920685589342,-1634.248279983031,-891.0235344746947,S,743.2247455083362
USDJPY,30.0,250.0,1537.8920685589342,-576.9120579022449,-432.73584360305574,S,144.17621429918916
USDJPY,150.0,10.0,1537.8920685589342,-1652.4540269557883,-826.2354985121159,S,826.2185284436724
USDJPY,150.0,25.0,1537.8920685589342,-2139.816380898446,-1069.9302639127638,S,1069.886116985682
USDJPY,150.0,50.0,1537.8920685589342,-2030.5072630024529,-1014.3103019015338,S,1016.1969611009191
USDJPY,150.0,100.0,1537.8920685589342,-2342.236616799944,-1154.622805636393,S,1187.613811163551
USDJPY,150.0,250.0,1537.8920685589342,-2168.868529285457,-948.831909977353,S,1220.036619308104
XAUUSD,30.0,10.0,24.64256975050199,968.7301049705176,522.8214996551291,H,445.9086053153885
XAUUSD,30.0,25.0,24.64256975050199,2429.591731090225,1295.602362807664,H,1133.9893682825611
XAUUSD,30.0,50.0,24.64256975050199,1779.0712197930957,1094.713485836216,H,684.3577339568797
XAUUSD,30.0,100.0,24.64256975050199,171.64133157778565,300.9373802007918,S,129.29604862300613
XAUUSD,30.0,250.0,24.64256975050199,1340.3393568941092,1042.2405048382495,H,298.09885205585965
XAUUSD,150.0,10.0,24.64256975050199,-9.495560209745747,-4.752490645663386,S,4.7430695640823615
XAUUSD,150.0,25.0,24.64256975050199,-315.4924529813885,-157.7591620920744,S,157.7332908893141
XAUUSD,150.0,50.0,24.64256975050199,968.7169788254372,522.8001061158095,H,445.9168727096277
XAUUSD,150.0,100.0,24.64256975050199,1289.6329145172044,697.6172516330535,H,592.015662884151
XAUUSD,150.0,250.0,24.64256975050199,1778.8383886800923,1094.4396535092842,H,684.3987351708081
